的	u_ unid	白勹丶
等	rg_ rgkc	⺮土寸
十	ns	十
意	xh_ xhx	音心
正	fsi	一止
外	lyb	夕卜
想	eqh_ eqhx	木目心
间	ao_ aor	门日
把	umb	扌巴
情	ha_ havy	忄龶⺝
者	qo_ qor2	耂日
没	kr_ krs	氵殳
重	ldl	千里
相	eqm	木目
那	au_ aute	㇆阝
向	tm_ tmdk	丿冂口
知	od_ odk	矢口
因	rm_ rmd	囗大
样	egy	木羊
学	kw_ kwhi	⺍冖子
应	xk_ xkfi	广⺍一
又	ry	又
手	us	手
但	jo_ jofi	亻日一
信	js_ jsy	亻言
关	hmd	䒑大
使	jf_ jfdb	亻一口
种	xd_ xdgs	禾口丨
见	ej	见
力	sl	力
名	ld_ ldk	夕口
二	me	二
处	hy_ hyb	夂卜
门	am	门
并	hl_ hlc	䒑廾
口	dk	口
么	tk_ tks	丿厶
先	qp_ qpe	⺧儿
位	ji_ jil	亻立
头	wm_ wmd	⺀大
回	rd_ rdk	囗口
话	sa_ sas	讠舌
很	wi_ wig	彳艮
再	fmg_ fmgt	一冂土
由	dy	由
身	zs	身
入	ju	入
内	mj_ mjr	冂人
第	rt_ rtf2	⺮𢎨
平	eh_ ehb2	干丷
被	tr_ trp3	衤皮
给	ij_ ijdk	纟亼口
次	we_ weq	冫欠
别	ds_ dspd	口力刂
几	oj	几
月	vy	月
真	nq_ nqhb	十
立	il	立
新	ie_ ietj	立朩斤
通	kt_ ktuc	龴辶
少	yt_ ytp	𡭔丿
机	eo_ eoj	木几
打	ua_ uad	扌丁
水	ks	水
果	qem	田木
最	oq_ oqry	曰耳又
部	id_ idte	立口阝
何	jz_ jzk	亻可
安	wb_ wbn	宀女
接	uib_ uibn	扌立女
报	uz_ uzry	扌卩又
声	gc_ gcs	士
才	nt_ ntp	丿
体	jef_ jefi	亻木一
今	jae	亽
合	jdk	亼口
性	hls	忄生
西	vx	西
你	jx_ jxyx	亻小
放	lh_ lhp2	方攵
表	ati	龶
目	qm	目
加	sd_ sdk	力口
常	srj	巾
做	jc_ jchp	亻古攵
己	vjj vj2	己
老	ql	老
四	ys	四
件	jq_ jqn	亻牛
解	xt_ xtpq	⺈用刀牛
路	psg	⻊各
更	fo_ fobi	一日
走	pz	走
比	vv_ vvb2	匕
总	hd_ hdhx2	丷口心
金	zj	金
管	rwk_ rwki	⺮宀㠯
光	mg	光
工	ug	工
结	igd_ igdk	纟士口
提	uo_ uots	扌日
任	jt_ jtgs	亻㇒士
东	ryx	小
原	xu_ xuyx	厂白小
便	jfo_ jfob	亻一日
美	gm_ gmd	⺷大
及	cj	及
教	qhh_ qhhp	耂子攵
难	rui	又隹
世	la_ lae	廿㇗
至	yi	至
气	vq	气
神	fog_ fogs	礻日丨
山	vs	山
数	pb_ pbhp	米女攵
利	xp_ xpd2	禾刂
书	aa_ aagi	ヿヿ丨丶
代	jp_ jpi	亻弋
直	nqf_ nqfi	十一
色	xm_ xmb2	⺈巴
场	ga_ gaes	土ㄋ
变	zc_ zcry	亠又
记	svj	讠己
张	bp_ bpc	弓长
必	ht_ htp2	心丿
受	ywr_ ywry	爫冖又
交	ab_ abi	六乂
非	rf	非
服	vz_ vzry	月卩又
化	jvb	亻
求	fk_ fkid	一氺丶
风	obi	⺇乂
度	xlr_ xlry	广廿又
太	mi_ mid	大丶
万	fp_ fpd	一
各	sg	各
算	rql_ rqlc2	⺮目廾
边	su_ suc2	力辶
王	nw	王
什	jns	亻十
快	hn_ hnjr	忄人
许	se_ sens	讠𠂉十
连	yu_ yuc2	车辶
五	wu	五
活	ka_ kas	氵舌
思	qh_ qhx	田心
该	sk_ skh	讠亥
步	ssi	止
海	kek_ kekm	氵𠂉母
指	uv_ uvor	扌匕日
物	qne_ qnes	牜勹
则	op_ opd2	贝刂
女	bn	女
或	pdf_ pdfi	戈口㇀
完	wmp_ wmpe	宀二儿
马	nm	马
强	bd_ bdcc	弓口虫
言	sy	言
条	he_ hem	夂木
特	qg_ qgkc2	牜土寸
命	jdz_ jdzj	亼口卩
感	nf_ nfdh	戊一口心
清	kav_ kavy	氵龶⺝
带	lw_ lwrj	冖巾
认	sj_ sjr	讠人
保	jde_ jdem	亻口木
望	fv_ fvnw	月王
转	ym_ ymai	二丶
传	jm_ jmai	亻二丶
儿	pe	儿
制	qrp_ qrpd	牛巾刂
干	eg	干
计	sn_ sns	讠十
民	dm	民
白	ub	白
住	jin_ jinw	亻丶王
字	whi	宀子
它	wv_ wvb	宀匕
义	ib_ ibi	丶乂
车	yc	车
像	jwx	亻象
反	xr_ xry	⺁又
象	wx	象
题	ot_ otwy	日页
却	gkz_ gkzj	土厶卩
流	kb_ kboc	氵
且	fq	且
即	iz_ izj	卩
深	kwh_ kwhe	氵冖八木
近	tu_ tuc	斤辶
形	fle_ fles	一廾彡
取	qr_ qry	耳又
往	win_ winw	彳丶王
系	tis	丿糸
量	ofd_ ofdl	日一里
论	sjl	讠仑
告	qd_ qdk	⺧口
息	ohx	自心
让	syf_ syfi	讠⺊一
决	wnj_ wnjr	冫人
未	aw	未
花	lj_ ljvb	艹亻
收	ih_ ihp2	丩攵
满	kl_ klml2	氵艹两
每	ek_ ekm2	𠂉母
华	jvn_ jvns	亻十
业	cy	业
南	nmg_ nmgy	十冂
觉	kwe_ kwej	⺍冖见
电	oa_ oae	日乚
空	eu_ eug2	穴工
眼	qi_ qig	目艮
听	dtj	口斤
远	mp_ mpuc	二儿辶
师	pf_ pfrj	リ一巾
元	mpe	二儿
请	sav_ savy	讠龶⺝
容	whg	宀谷
她	be_ bey2	女也
军	wyc	冖车
士	gs	士
百	fu_ fub	一白
办	sh_ shb2	力八
语	sw_ swdk	讠五口
期	zhv_ zhvy	月
北	av_ avb	匕
林	ee_ eem	木木
识	sdh_ sdhb	讠口八
半	hu_ hus	丷
夫	hf	夫
客	ws_ wsg	宀各
战	ydp_ ydpg	⺊口戈
院	tw_ twmp	阝宀二儿
城	gna_ gnae	土戊㇆
候	jgn_ jgno	亻丨矢
单	hq_ hqns	丷田十
音	xy	音
台	kd_ kdk2	厶口
死	gv_ gvb	歹匕
视	fe_ fej	礻见
领	jkw_ jkwy	亽龴页
失	th_ thf2	丿夫
司	afd_ afdk	㇆一口
亲	iem	立朩
始	bkd_ bkdk	女厶口
极	ec_ ecj	木及
双	rr_ rry	又又
令	jks	亽龴
改	vh_ vhp2	己攵
功	usl	工力
程	xdn_ xdnw	禾口王
爱	yw_ ywnr	爫冖𠂇又
德	wn_ wnyh	彳十罒心
复	eoh_ eohi	𠂉日夊
切	rpd	七刀
随	tn_ tnvu	阝𠂇⺝辶
李	ehi	木子
员	do_ dob2	口贝
离	zb_ zbmv	亠㐅凵禸
轻	yr_ yrug	ス工
观	rej	又见
青	avy	龶⺝
足	pu	足
落	lk_ lksg	艹氵各
叫	di_ dij	口丩
根	ei_ eig	木艮
怎	wh_ whx	乍心
持	ugk_ ugkc	扌土寸
精	pa_ pavy	米龶⺝
送	hm_ hmuc	䒑大辶
众	jjj_ jjjr	人人人
影	og_ ogye	日小彡
八	hb	八
首	ho_ hoi	䒑自
包	nvs	勹巳
准	wui	冫隹
兴	khb	⺍
红	iug	纟工
达	mu_ muc2	大辶
早	on_ ons	日十
尽	ciw_ ciwb	尸㇏⺀
故	chp	古攵
房	mlf	户方
引	bgs	弓丨
火	ch	火
站	iyd_ iydk	立⺊口
似	jvj_ jvjr	亻人
找	up_ upg2	扌戈
备	hqt	夂田
调	smg_ smgd	讠⺆土口
断	pat_ patj	米㇗斤
设	srs	讠殳
格	es_ esg	木各
消	kyv_ kyvy	氵⺌⺝
拉	ui_ uil	扌立
照	opd_ opdc	日刀口灬
布	nrj	𠂇巾
友	nr_ nry2	𠂇又
整	xhf_ xhfs	束攵一止
术	eid	木丶
石	ms	石
展	cl_ clti	尸龷
紧	pr_ pris	〢又糸
据	uc_ uccg	扌尸古
终	ihw_ ihwb	纟夂⺀
周	mgd_ mgdk	⺆土口
式	pug	弋工
举	khu_ khus2	⺍
飞	cf	飞
片	ap	片
虽	dc_ dcc	口虫
易	one_ ones	日勹
运	buc	云辶
笑	rtm_ rtmd	⺮丿大
云	by	云
建	bu_ buy	聿廴
谈	sc_ scch	讠火火
界	qjp_ qjpd	田人
务	hs_ hsl	夂力
写	wf_ wfaf	冖一ㄅ一
钱	zf_ zfpg	钅一戈
商	im_ imhd	冂八口
乐	byx	小
推	uu_ uui	扌隹
注	ki_ kinw	氵丶王
越	pn_ pnu	走戉
千	lq	千
微	wvf_ wvfh3 wvfo	彳山一攵
若	lnd_ lndk	艹𠂇口
约	ini_ inid	纟勹丶
英	lm_ lmmd	艹大
集	ue_ uem	隹木
示	fs	示
呢	dcv_ dcvb	口尸匕
待	wgk_ wgkc	彳土寸
坐	jjg_ jjgt	人人土
议	sib_ sibi	讠丶乂
乎	thn_ thns	丿丷
留	bq_ bqt	田
称	xxy_ xxyx	禾小
品	ddd_ dddk	口口口
志	gh_ ghx2	士心
黑	ph	黑
存	ng_ nghi	𠂇丨子
六	al	六
造	qdu_ qduc	⺧口辶
低	jbi_ jbid	亻氏丶
江	kug	氵工
念	jah_ jahx	亽心
产	ixc	厂
刻	kp_ kpd2	亥刂
节	lz_ lzj2	艹卩
尔	xyx	小
吃	de_ deai	口𠂉乙
势	ukis	扌九丶力
依	jti	亻衣
图	rhw_ rhwb	囗夂⺀
共	lhb	龷八
曾	hr_ hryo	丷囗⺌曰
响	dtm_ dtmd	口丿冂口
底	xbi_ xbid	广氏丶
装	agti	丬士衣
具	qhb	
喜	hdk	壴口
严	fcx_ fcxc	一厂
九	kj	九
况	wd_ wdpe	冫口儿
跟	pig	⻊艮
罗	yl_ ylx	罒夕
须	ew_ ewy2	彡页
显	ocy	日业
热	uk_ ukic2	扌九丶灬
病	afm_ afmj	疒一冂人
证	sf_ sfsi	讠一止
刚	mbp_ mbpd	冂㐅刂
治	kk_ kkdk	氵厶口
绝	ixm_ ixmb	纟⺈巴
群	bt_ btdg	丿口羊
市	zr_ zrj	亠巾
阳	tor	阝日
确	mx_ mxty	石⺈用
究	ekj	穴九
久	xi_ xid3	㇏
除	tjx_ tjxh	阝人
闻	aq_ aqe	门耳
答	rjd_ rjdk	⺮亼口
段	uf_ ufrs	一殳
官	wk_ wki	宀㠯
政	fsh_ fshp	一止攵
类	pmd	米大
黄	nh	黄
武	fps_ fpsi	一弋止
七	rq	七
支	ci	支
费	to_ tob	弗贝
父	hbi	八乂
统	ibp_ ibpe	纟儿
府	xjk_ xjkc	广亻寸
查	eof_ eofi	木日一
般	irs	舟殳
斯	zht_ zhtj	斤
倒	jy_ jypd	亻至刂
突	emq	穴犬
号	df_ dfae	口一ㄅ
树	erk_ erkc	木又寸
拿	jdu_ jdus	亼口手
克	cp_ cpe	古儿
初	tpd	衤刀
广	xg	广
奇	mzk	大可
愿	xuy_ xuyh	厂白小心
欢	re_ req2	又欠
希	bnr_ bnrj	㐅𠂇巾
母	km	母
香	xor	禾日
破	mr_ mrp2	石皮
谁	sui	讠隹
致	yh_ yhp2	至攵
线	ifp_ ifpg	纟一戈
急	xbh_ xbhx	⺈彐心
古	cg	古
既	idu	旡
句	gj	句
京	gyx	小
甚	zha_ zhae	㇗
仍	jv_ jvn2	亻乃
晚	owp_ owpe2	日
争	xb_ xbv	⺈
游	kle_ kleh	氵方𠂉子
龙	tl	龙
余	jxh	人
护	umh	扌户
另	dsl	口力
器	dd_ ddmd	口口犬口
细	iq_ iqt	纟田
木	em	木
权	er_ ery2	木又
星	ol_ ols	日生
哪	dau_ daut	口㇆阝
苦	lcg	艹古
孩	hkh	子亥
试	sp_ spug	讠弋工
朝	no_ nonv	十日十月
阿	tz_ tzk	阝可
队	tjr	阝人
居	ccg	尸古
害	wadk	宀丰口
独	mc_ mcc	犭虫
讲	sq_ sqj	讠井
错	zl_ zlor	钅龷日
局	cad_ cadk	尸㇆口
男	qsl	田力
差	gu_ gug	⺶工
参	kme_ kmes	厶大彡
社	fg_ fgt	礻土
换	ux_ uxmm	扌⺈大
选	qpu_ qpuc	⺧儿辶
止	si	止
际	tfs	阝示
假	jcm_ jcmr	亻二又
汉	kry	氵又
够	gl_ gllx	句夕夕
诉	st_ stid	讠斤丶
资	weo_ weob	冫欠贝
密	wht_ whtv	宀心丿山
案	wbe_ wbem	宀女木
史	db_ dbi	口
较	yab_ yabi	六乂
环	nc_ ncb	王不
投	urs	扌殳
静	avx_ avxb	龶⺝⺈
宝	wni_ wnid	宀王丶
专	ma_ maid	二丶
修	jgh_ jghe	亻丨夂彡
室	wyi	宀至
区	nb_ nbi	匸㐅
料	pj_ pjd	米斗
帮	at_ atrj	阝巾
衣	ti	衣
竟	xpe	音儿
模	elo_ elom	木艹日大
脸	vjk_ vjkf	月亼⺍一
善	ghd_ ghdk	羊䒑口
兵	thb	
考	qf_ qfae	耂一ㄅ
规	hej	夫见
联	qhm_ qhmd	耳䒑大
团	rnt_ rntp	囗丿
冷	wjk_ wjks	冫亽龴
玉	ni_ nid3	王丶
施	le_ leey	方𠂉也
派	kx_ kxti	氵⺁
纪	ivj	纟己
采	ye_ yem	爫木
历	xsl	厂力
顾	xz_ xzwy	厂页
春	aio_ aior	㇏日
责	aob	龶贝
夜	zjv_ zjvy	亠亻
画	fqmk	一田凵
惊	hgy_ hgyx	忄小
银	zig	钅艮
负	xo_ xob	⺈贝
续	ina_ inam	纟十乛大
吗	dn_ dnm2	口马
简	ra_ raor	⺮门日
章	xns	音十
左	nu_ nug2	𠂇工
块	gn_ gnjr	土人
索	nwi_ nwis	十冖糸
酒	ky_ kyy	氵酉
值	jnq_ jnqf	亻十一
态	mih_ mihx	大丶心
按	uwb_ uwbn	扌宀女
陈	try_ tryx	阝小
河	kz_ kzk	氵可
巴	mb	巴
冲	wdg_ wdgs	冫口丨
阵	tyc	阝车
境	gx_ gxpe	土音儿
助	fsl	且力
角	xty	⺈用
户	mh	户
乱	aae	舌乚
呼	dth_ dthn	口丿丷
灵	bch	彐火
脚	vg_ vgkz	月土厶卩
继	ip_ ipae	纟米㇗
楼	epb_ epbn2	木米女
景	ogy_ ogyx2	日小
怕	hub	忄白
停	jga_ jgad	亻丁
铁	zt_ zthf	钅丿夫
异	vl_ vlc	巳廾
谢	sz_ szkc	讠身寸
否	cd_ cdk	不口
伤	jes_ jesl	亻𠂉力
兰	hts	丷三
置	yn_ ynqf	罒十一
医	nos	匸矢
良	ii_ iig	丶艮
承	ak_ akts	乛水三
福	ff_ ffdq	礻一口田
科	xj_ xjd	禾斗
属	ct_ ctdv	尸丿口⽱
围	rgw	囗韦
需	tle	⻗而
退	iuc	艮辶
基	zhg_ zhgt	土
右	nd_ ndk2	𠂇口
速	xuc	束辶
适	auc	舌辶
药	li_ lini	艹纟勹丶
怀	hc_ hcb	忄不
击	um_ umk	凵
买	awm_ awmd	乛⺀大
素	ais	龶糸
背	avv_ avvy	匕⺝
岁	vlx	山夕
土	gt	土
忙	hfw	忄亡
充	bpe	儿
排	ur_ urf	扌非
价	jjp_ jjpd	亻人
质	xno_ xnob	⺁十贝
遇	qv_ qvuc	田⽱辶
端	ivl_ ivle	立山而
列	gp_ gpd2	歹刂
印	bfz_ bfzj	一卩
贵	co_ cob2	贝
疑	vo_ vokt	匕矢龴疋
露	tps_ tpsg	⻗⻊各
哥	zz_ zzk	可
杀	bem	㐅朩
标	efs	木示
招	upd_ updk	扌刀口
血	tam	丿皿
礼	fae	礻乚
弟	htf	丷𢎨
亮	go_ goj	几
齐	qq	齐
穿	el_ ely	穴牙
脑	vzb_ vzbm	月亠㐅凵
委	xbn	禾女
州	oo_ ooc	川
某	ze_ zem	甘木
顺	ow_ owy2	川页
省	ytq_ ytqm	𡭔丿目
讨	skc	讠寸
尚	ss	尚
维	iu_ iui	纟隹
板	exr_ exry	木⺁又
散	lv_ lvhp	龷⺝攵
项	uw_ uwy2	工页
状	amq	丬犬
追	tku_ tkuc	丿㠯辶
笔	rv_ rvm	⺮毛
副	fdq_ fdqp	一口田刂
层	cb_ cby2	尸云
沙	kyt_ kytp	氵𡭔丿
养	gi_ gipd	⺶㇏
读	snam	讠十乛大
习	zx	习
永	ik_ iks	丶
草	lo_ lons	艹日十
胡	cvy	古月
济	kqq	氵齐
执	uki_ ukid	扌九丶
察	whf_ whfs	宀示
归	pbj	リ彐
富	wfd_ wfdq	宀一口田
座	xjj_ xjjg	广人人土
雨	tv	雨
堂	sgt	土
威	nfb_ nfbn	戊一女
忽	neh_ nehx	勹心
苏	lsh_ lshb	艹力八
船	iod_ iodk	舟几口
罪	yrf	罒非
敢	aqh_ aqhp	乛耳攵
妇	bb_ bbj	女彐
村	ekc	木寸
著	lqo_ lqor	艹耂日
食	qs	食
导	vk_ vkc2	巳寸
免	wp_ wpe	
温	koa_ koam	氵日皿
莫	lom_ lomd	艹日大
掌	sus	手
激	kul_ kulh	氵白方攵
慢	hoyr	忄曰罒又
托	utr_ utrq	扌丿七
胜	vls	月生
险	tjkf	阝亼⺍一
寻	bkc	彐寸
守	wkc	宀寸
波	krp	氵皮
雷	tqt	⻗田
沉	kwo_ kwoj	氵冖几
秀	xvn	禾乃
职	qdh_ qdhb	耳口八
验	nj_ njkf	马亼⺍一
靠	qdr_ qdrf	⺧口非
楚	eet_ eets	木木疋
略	qsg	田各
族	leo_ leos	方𠂉矢
藏	lnq_ lnqc	艹臣
丽	fvv_ fvvy	一
渐	kytj	氵斤
刘	vp_ vpd3	文刂
仅	jr_ jry	亻又
肯	svy	止⺝
担	uof_ uofi	扌日一
扬	uaes	扌ㄋ
盘	ia_ iam	舟皿
唐	xbd_ xbdk	广肀口
钟	zdg_ zdgs2	钅口丨
级	icj	纟及
毛	vmm vm2	毛
营	lwd_ lwdd	艹冖口口
坚	prg_ prgt	〢又土
松	ehk_ ehks	木八厶
皮	rp	皮
供	jlh_ jlhb	亻龷八
店	xyd_ xydk	广⺊口
饭	qx_ qxry2	饣⺁又
范	lkz_ lkzj	艹氵⺋
哈	dj_ djdk	口亼口
赶	peg	走干
吧	dmb	口巴
雪	tb_ tbj	⻗彐
斗	jd	斗
效	abh_ abhp	六乂攵
临	pro_ pror	〢
农	wti	冖
味	da_ daw	口未
恶	fchx	一业心
烟	cr_ crmd	火囗大
园	rmp_ rmpe	囗二儿
烈	gpc_ gpch	歹刂灬
配	yv_ yvj	酉己
杂	ke_ kem2	九木
短	oz_ ozd	矢豆
卫	zfi	一
跳	ppw_ ppww	⻊儿冫
孙	hyx	子小
曲	yq	曲
封	ggk_ ggkc	土土寸
抓	uya	扌爪
移	xll_ xllx	禾夕夕
顿	fsw_ fswy	一页
律	wbv	彳聿
卖	naw_ nawm	十乛⺀大
艺	lai	艹乙
旧	gor	丨日
朋	vvy	月月
救	fki_ fkih	一氺丶攵
防	tlf	阝方
脱	vhd_ vhdp	月丷口儿
翻	tp_ tpqz	丿米田羽
划	pp_ ppd2	戈刂
迎	bz_ bzuc	卩辶
痛	akt_ akty	疒龴
校	eab_ eabi	木六乂
窗	et_ etrh	穴丿囗夂
宣	wfo_ wfof	宀一日一
乡	ixx ix2	乡
杨	ea_ eaes	木ㄋ
叶	dns	口十
警	lg_ lghs	艹句攵言
限	tig	阝艮
湖	kcv_ kcvy	氵古月
软	yeq	欠
掉	uy_ uyon	扌⺊日十
财	ont_ ontp	贝丿
词	saf_ safd	讠㇆一口
压	xgi_ xgid	厂土丶
挥	uwy_ uwyc	扌冖车
超	ppd_ ppdk	走刀口
屋	cyi	尸至
秋	xch	禾火
跑	pnv_ pnvs	⻊勹巳
忘	fh_ fhx	亡心
馆	qwk_ qwki	饣宀㠯
暗	ox_ oxy	日音
班	np_ npnw pnnw	王王
党	spe	儿
宗	wfs	宀示
坏	gcb	土不
技	uci	扌支
困	rem	囗木
登	hz_ hzd	癶豆
姐	bf_ bfq	女且
预	iw_ iwy	予页
耳	qe	耳
席	xlrj	广廿巾
梦	eel_ eelx	木木夕
朱	ta_ taw	丿未
组	if_ ifq	纟且
旁	iwl_ iwlf	冖方
份	jh_ jhpd	亻八刀
禁	eef_ eefs	木木示
套	mpc	大镸
亚	fcy	一业
益	kam	皿
探	uwh_ uwhe	扌冖八木
康	xbk_ xbks	广氺
增	ghr_ ghro	土丷囗曰
诗	sgk_ sgkc	讠土寸
戏	rpg	又戈
伯	jub	亻白
晓	opf_ opfp	日一儿
含	jad_ jadk	亽口
劳	lws_ lwsl	艹冖力
恩	rmh_ rmhx	囗大心
顶	awy	丁页
君	btd_ btdk	丿口
庄	xgt	广土
谓	sqv_ sqvy	讠田⺝
付	jk_ jkc	亻寸
田	qt	田
毕	vvns	匕十
纸	ibs	纟氏
研	mfl_ mflc	石一廾
虚	zcy	虍业
怪	hrg_ hrgt	忄又土
宁	wad	宀丁
替	hho_ hhor	夫夫曰
犯	mz_ mzj2	犭⺋
灯	ca_ cad2	火丁
优	joy	亻尤
您	jxy_ jxyh	亻小心
姓	bls	女生
例	jgp_ jgpd	亻歹刂
丝	iis	纟纟
盖	gam	⺷皿
误	sdf_ sdfm	讠口一大
架	sde_ sdem	力口木
幸	ggy	土
隐	tx_ txbh	阝⺈彐心
股	vr_ vrs	月殳
毒	akm	龶母
娘	bi_ biig	女丶艮
占	ydk	⺊口
智	odo_ odor	矢口日
佛	jtf	亻弗
床	xe_ xem2	广木
米	pm	米
凡	oid	几丶
介	jpd	人
征	wfsi	彳一止
彩	yee_ yees	爫木彡
演	kwfh	氵宀一八
射	zkc	身寸
祖	ffq	礻且
欲	heq	谷欠
束	xs	束
获	lmm_ lmmq	艹犭犬
舞	elfv	𠂉卌一㐄
圣	rgt	又土
伙	jch	亻火
梅	eek_ eekm	木𠂉母
普	hco_ hcor	䒑业日
借	jlo_ jlor	亻龷日
私	xks	禾厶
源	kxu_ kxuy	氵厂白小
镇	znq_ znqh	钅十
睡	qll_ qllg	目千艹士
缓	iyf_ iyfr	纟爫一又
升	tlc	丿廾
纳	imj_ imjr	纟冂人
织	idh_ idhb	纟口八
歌	zze_ zzeq	可欠
宫	wdd_ wddk	宀口口
概	eidu	木旡
野	div	里予
醒	yo_ yols	酉日生
夏	foh_ fohi	一自夊
互	fb_ fbj	一彑
积	xdh_ xdhb	禾口八
街	pgg_ pggt2	行土土
牌	aut_ autn	片白丿十
休	jem	亻木
摇	uyaf	扌爫缶
洋	kgy	氵羊
败	oh_ ohp	贝攵
监	pra_ pram	〢皿
骨	fgg fg2	骨
批	uvv_ uvvb	扌匕
兄	dp_ dpe	口儿
刀	pd	刀
网	mbb_ mbbi	冂乂乂
率	zi_ ziwn	亠幺冫十
庭	xtg_ xtgu	广㇒士廴
熟	ghk_ ghkc	子九灬
创	jzp_ jzpd	人⺋刂
访	slf	讠方
硬	mfo_ mfob	石一日
仁	jme	亻二
菜	lye_ lyem	艹爫木
丁	ad	丁
绿	ibk_ ibks	纟氺
牛	qn	牛
避	cdnu	尸口辛辶
阴	tvy	阝月
拍	uub	扌白
雄	nk_ nkui	𠂇厶隹
秘	xht_ xhtp	禾心丿
缺	an_ anjr	缶人
卷	hh_ hhzj	丷夫⺋
姑	bc_ bcg	女古
尼	cvb	尸匕
油	kdy	氵由
恐	uoih	工几丶心
玩	nmp_ nmpe	王二儿
释	tpr_ tpru	丿米又
遍	miu_ miuc	户辶
握	ucy_ ucyi	扌尸至
球	nfk_ nfki	王一氺丶
降	thv_ thvk	阝夂㐄
虑	zhx	虍心
荣	lwe_ lwem	艹冖木
策	remk	⺮木冂
肉	mjj_ mjjr	冂人人
妈	bnm	女马
迷	puc	米辶
检	ejk_ ejkf	木亼⺍一
伸	jog_ jogs	亻日丨
欧	nbe_ nbeq	匸㐅欠
攻	uh_ uhp2	工攵
练	iry_ iryx	纟
育	bvy	⺝
危	xx_ xxzj	⺈厂⺋
厅	xad	厂丁
啊	dt_ dtzk	口阝可
睛	qa_ qavy	目龶⺝
摆	uyg_ uygk	扌罒土厶
茶	lje_ ljem	艹人木
勇	kts_ ktsl	龴力
判	hup_ hupd	丷刂
材	ent_ entp	木丿
抱	unv_ unvs	扌勹巳
亦	zch	亠
妻	fbb_ fbbn	一女
吸	dcj	口及
喝	don_ donf	口曰勹亾
趣	pqr_ pqry	走耳又
嘴	dsv_ dsvt	口匕用
逐	juc	豕辶
操	udd_ udde	扌口口木
午	en_ ens	𠂉十
吉	gdk	士口
浪	kii_ kiig	氵丶艮
轮	yj_ yjl	仑
默	pmq	犬
毫	gvm	毛
冰	wks	冫水
珠	nta_ ntaw	王丿未
鼓	hci	支
阶	tjp_ tjpd	阝人
孔	hae	子乚
徐	wjx_ wjxh	彳人
固	rc_ rcg	囗古
偏	jmi_ jmic	亻户
陆	tum_ tumk	阝凵
诸	sqo_ sqor	讠耂日
遗	cou_ couc	贝辶
爷	hbz_ hbzj2	八乂卩
述	eiu_ eiuc	木丶辶
帝	iwr_ iwrj	冖巾
闭	ant_ antp	门丿
补	tyb	衤卜
编	imi_ imic	纟户
巨	nn_ nnk2	匚コ
透	xvu_ xvuc	禾乃辶
弄	nl_ nlc2	王廾
尤	oy	尤
鲁	wor	鱼日
拥	ut_ uty	扌用
录	bk_ bks3	氺
吴	dfm_ dfmd	口一大
